voted,Freq,year,group,source
1,20.7,2010,Adults ages 18-29,CES validated vote estimate
1,44.9,2012,Adults ages 18-29,CES validated vote estimate
1,23.2,2014,Adults ages 18-29,CES validated vote estimate
1,38,2016,Adults ages 18-29,CES validated vote estimate
1,30.8,2018,Adults ages 18-29,CES validated vote estimate
1,38,2020,Adults ages 18-29,CES validated vote estimate
1,20.9,2010,Adults ages 18-29,CIRCLE estimate
1,45,2012,Adults ages 18-29,CIRCLE estimate
1,19.9,2014,Adults ages 18-29,CIRCLE estimate
1,39,2016,Adults ages 18-29,CIRCLE estimate
1,28.2,2018,Adults ages 18-29,CIRCLE estimate
1,50,2020,Adults ages 18-29,CIRCLE estimate
1,0.2,2010,Adults ages 18-29,Difference
1,0.1,2012,Adults ages 18-29,Difference
1,3.3,2014,Adults ages 18-29,Difference
1,1,2016,Adults ages 18-29,Difference
1,2.6,2018,Adults ages 18-29,Difference
1,12,2020,Adults ages 18-29,Difference
