"","rid","date","V9","V8","political_party","ideo5","duration"
"1","5e95d9e7-17b5-a199-daf5-7c7b17d019ff","04-14-2020",2020-04-14 09:54:01,2020-04-14 09:42:37,"2",6,11.4
"2","5e95dbc1-53ba-3d20-e168-9c874d0efc99","04-14-2020",2020-04-14 09:54:50,2020-04-14 09:51:00,"3",2,3.83333333333333
"3","5e95d99e-60f6-6852-7646-ca339a2cd3f0","04-14-2020",2020-04-14 09:55:54,2020-04-14 09:42:09,"10",5,13.75
"4","5e95db1b-ce45-9b15-fb18-acca865142be","04-14-2020",2020-04-14 09:56:11,2020-04-14 09:48:54,"9",3,7.28333333333333
"5","5e95dba0-3dfa-c6e2-cc2c-bb0806165a80","04-14-2020",2020-04-14 09:57:47,2020-04-14 09:50:35,"6",3,7.2
"6","5e95dbb3-d7f0-b6a5-2f1e-2eadd9f54ef1","04-14-2020",2020-04-14 09:58:02,2020-04-14 09:50:57,"4",5,7.08333333333333
"7","5e95db1d-73c8-6b96-814b-c8b181877055","04-14-2020",2020-04-14 09:58:33,2020-04-14 09:48:04,"2",2,10.4833333333333
"8","5e95dae8-e6bc-66d6-bf48-6c4915cde4dd","04-14-2020",2020-04-14 10:00:25,2020-04-14 09:48:05,"9",3,12.3333333333333
"9","5e95db89-ef14-1e3f-c3e6-9a04dca82141","04-14-2020",2020-04-14 10:01:48,2020-04-14 09:50:37,"1",3,11.1833333333333
"10","5e95db51-a818-65d0-09d5-a6020852bee8","04-14-2020",2020-04-14 10:02:03,2020-04-14 09:49:09,"5",4,12.9
"11","5e95dcde-34b4-31cf-630d-61f0e5886534","04-14-2020",2020-04-14 10:03:36,2020-04-14 09:55:19,"5",3,8.28333333333333
"12","5e95dc69-f2b7-d1e1-a1f8-5a0f40eab507","04-14-2020",2020-04-14 10:03:44,2020-04-14 09:54:17,"1",4,9.45
"13","5e95dba3-cb80-0e2c-3ff3-8fb600138d53","04-14-2020",2020-04-14 10:03:51,2020-04-14 09:50:11,"8",3,13.6666666666667
"14","5e95dcdf-c7f5-c29b-7d9b-26108c293b1e","04-14-2020",2020-04-14 10:03:54,2020-04-14 09:55:39,"10",3,8.25
"15","5e95dc16-53b4-a111-85d3-ae28f7e37607","04-14-2020",2020-04-14 10:04:10,2020-04-14 09:52:34,"10",5,11.6
"16","5e95dd47-4603-673f-096f-f40eca0e9023","04-14-2020",2020-04-14 10:05:04,2020-04-14 09:57:37,"10",5,7.45
"17","5e95dc3a-1587-ab2c-413f-552cbc870cbe","04-14-2020",2020-04-14 10:05:18,2020-04-14 09:53:32,"5",4,11.7666666666667
"18","5e95dd90-b71b-fcf6-288b-8b4c98bee38d","04-14-2020",2020-04-14 10:05:58,2020-04-14 09:58:44,"9",4,7.23333333333333
"19","5e95de26-b50e-63f5-9a93-a9141451c262","04-14-2020",2020-04-14 10:06:13,2020-04-14 10:01:48,"1",1,4.41666666666667
"20","5e95dcc7-2bcf-8ae8-6cce-179a1f2521b0","04-14-2020",2020-04-14 10:06:16,2020-04-14 09:55:28,"1",2,10.8
"21","5e95dc0a-276d-895f-30eb-235d3eafba65","04-14-2020",2020-04-14 10:06:17,2020-04-14 09:52:05,"9",3,14.2
"22","5e95dba3-98de-e34f-8418-d6c93922021b","04-14-2020",2020-04-14 10:07:12,2020-04-14 09:50:56,"2",2,16.2666666666667
"23","5e95dc43-c124-d9fa-78d1-0d8ec630e96e","04-14-2020",2020-04-14 10:07:40,2020-04-14 09:53:36,"2",3,14.0666666666667
"24","5e95de75-a6b0-7eac-e6dc-4681ddabb0b5","04-14-2020",2020-04-14 10:09:07,2020-04-14 10:02:45,"10",6,6.36666666666667
"25","5e95dce3-8b56-c954-eeef-f17555a48629","04-14-2020",2020-04-14 10:09:09,2020-04-14 09:56:12,"5",5,12.95
"26","5e95de3f-c148-1c53-9065-71e8cfa2e16f","04-14-2020",2020-04-14 10:09:16,2020-04-14 10:02:08,"9",3,7.13333333333333
"27","5e95dcc6-0ab0-2d53-897c-b1c71c08eb46","04-14-2020",2020-04-14 10:09:23,2020-04-14 09:55:39,"10",5,13.7333333333333
"28","5e95deda-7556-8fca-8990-fb47cdd553ed","04-14-2020",2020-04-14 10:09:37,2020-04-14 10:04:12,"2",3,5.41666666666667
