V1,V2,V3,V4,V5,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,name1,name2,name4,name6,name3,name5,family1,family2,family3,family4,family5,family6,age1,age2,age3,age4,age5,age6,experience1,experience2,experience3,experience4,experience5,experience6,margin,consent,Q75,inputstate,votereg,year_born,pid3,dem_strength,rep_strength,ind_lean,ideo5,marstat,presvote16_post,intent,presvote2020,presvote2020_voted,presvote_2020lean,religpew,pew_bornagain,employ,newsint,urbancity,class,women_lgbtq_4,women_lgbtq_5,women_lgbtq_6,women_lgbtq_7,women_lgbtq_9,Q36_1,Q36_2,Q36_3,Q36_4,acknowledgment,socialism,fave_grid_1,fave_grid_2,fave_grid_3,fave_grid_5,fave_grid_6,fave_grid_7,fave_grid_10,mip_open,G2.Q2_1,G2.Q2_2,G2.Q2_3,G2.Q2_4,G2.Q2_5,G2.Q2_6,G2.Q2_7,G2.Q2_8,G2.Q2_9,G2.Q3_1_Group,G2.Q3_1_Rank,G2.Q3_2_Group,G2.Q3_2_Rank,G2.Q3_3_Group,G2.Q3_3_Rank,G2.Q3_4_Group,G2.Q3_4_Rank,G2.Q3_5_Group,G2.Q3_5_Rank,G2.Q3_6_Group,G2.Q3_6_Rank,G2.Q3_7_Group,G2.Q3_7_Rank,G2.Q3_8_Group,G2.Q3_8_Rank,work_status_1,work_status_2,work_status_3,work_status_4,work_status_5,work_status_6,work_status_7,work_status_8,work_status_9,work_status_9_TEXT,financial_impact,attribution_1,attribution_2,attribution_3,attribution_4,attribution_5,attribution_6,attribution_7,attribution_8,attribution_8_TEXT,Q28,trumplose,bidenlose,Q75_1,Q75_2,Q75_3,Q75_4,whytrump,whybiden,represents_1,represents_2,represents_3,represents_4,favorsDem,favorsRep,mostimpt,m4a_control,m4a_econ,m4a_soc,covid_control,covid_econ,covid_soc,gnd_control,gnd_labeled,gnd_unlabeled,Q1,Q162,cong1,cj4,Q48_1,Q48_2,Q48_3,Q48_4,cong2,cj5,Q49_1,Q49_2,Q49_3,Q49_4,cong3,cj6,Q50_1,Q50_2,Q50_3,Q50_4,DO_BR_FL_141,DO_BR_FL_6,DO_BR_FL_7,DO_BR_FL_8,DO_BR_FL_9,DO_BR_FL_10,DO_BR_FL_11,DO_BR_FL_12,DO_BR_FL_13,DO_BR_FL_14,DO_BR_FL_15,DO_BR_FL_16,DO_BR_FL_17,DO_BL_group2_lucas_ryan,DO_BL_M4AExperiment,DO_BL_COVIDExperiment,DO_BL_gnd_experiment,DO_Q_acknowledgment,DO_Q_socialism,DO_Q_fave_grid,DO_Q_presvote2020,DO_Q_presvote2020_voted,DO_Q_G2.Q3,DO_Q_women_lgbtq,DO_Q_presvote_2020lean,DO_Q_mostimpt,DO_Q_G2.Q2,DO_Q_presvote16_post,DO_Q_attribution,age_asked,agediff,duration,race4,agecat,educ,pid7,educ4,weduc,geduc,gregion,grace,agerace,prez16,nationalweight,income_new,vote_history,interest,registration,race,partisan_strength,year,Voted,lvweight
R_2foYCKFuUjwn3kV,NA,10/25/20 7:07,10/25/20 7:13,1,5f957865-f049-b9d9-9074-02fb1868f4db,67,1,20,16,1,5,3,4,95205,Robert,William,Matthew,Emma,James,Jennifer,Wife and two children,Wife and two children,Husband and three children,Wife and no children,Husband and three children,Wife and two children,67,69,49,69,52,70,14,23,15,11,14,15,8,1,1,5,1,1953,3,NA,NA,1,3,5,7,1,1,NA,NA,10,2,1,2,3,3,4,3,4,4,4,4.011,14.65,16.154,5,3,2,2,2,1,1,2,3,2,CORONAVIRUS,3,1,1,3,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,8 PERCENT IS HUGE,1,1,1,2,2,1,2,NA,NA,1,1,NA,NA,NA,3,NA,5,1,1,1,24.259,24.259,25.929,1,1,2,25.564,25.564,26.788,1,1,1,8.507,8.507,10.135,1,fave|socialism,FL_132,FL_122,FL_117,FL_110,FL_98,FL_95,FL_87,FL_79,FL_72,FL_59,FL_56,FL_47,mip_open|G2.Q2,m4a_soc,covid_control,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,7|6|5|2|10|3|1,2|1|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,7|5|9|4|6,1|2|9|8,8|7|6|5|4|3|2|1,5|4|3|6|8|7|9|1|2,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,67,0,5.83,4,5,5,3,3,7,4,NA,4,6,4,0.44016657,3,0,2,1,5,3,2020,0.682,0.300193601
R_UJVAnjNT9ZIKFyx,NA,10/25/20 7:07,10/25/20 7:13,1,5f957876-24e9-e492-6423-12b1a6c79c0c,44,2,1,2,1,2,4,3,77642,Michael,Benjamin,Janet,William,Robert,Barbara,Wife and three children,Husband and two children,Husband and no children,Wife and two children,Husband and two children,Husband and no children,66,53,63,48,69,59,13,10,21,21,24,22,9,1,1,45,1,1976,3,NA,NA,3,5,5,1,1,2,NA,NA,1,1,6,1,2,3,1,1,1,5,4,12.373,32.764,33.833,7,2,1,5,5,2,5,5,5,2,Medicare and Social Security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,2,NA,1,NA,NA,NA,1,3,NA,NA,4,1,1,1,4.67,20.169,20.763,6,1,1,2.312,9.826,11.7,5,1,2,2.032,5.829,6.1,4,socialism|fave,FL_133,FL_123,FL_119,FL_106,FL_100,FL_96,FL_89,FL_78,FL_66,FL_63,FL_54,FL_42,mip_open|G2.Q3,m4a_econ,covid_soc,gnd_control,1|2|3|4|5|6,1|2|4|5|3,5|1|2|7|10|6|3,2|1|3|4|8,2|1|3|4,6|1|7|2|3|4|5|8,7|5|9|6|4,1|2|9|8,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,44,0,6.2,2,3,2,4,1,5,7,NA,6,4,1,2.040275862,1,1,1,1,2,4,2020,0.8,1.63222069
R_308HG0wpnQWF1NR,NA,10/25/20 7:06,10/25/20 7:13,1,5f957826-8029-5035-dcd0-3ee32ba01856,35,2,10,1,1,5,9,3,37388,Barbara,George,William,Matthew,Michael,John,Husband and three children,Husband and three children,Wife and one child,Wife and one child,Husband and two children,Wife and one child,47,69,57,49,54,67,16,23,12,16,22,13,15,1,1,44,1,1985,2,NA,2,NA,3,1,2,3,NA,2,NA,2,2,1,1,1,3,5,3,2,6,4,6.995,11.546,14.307,6,1,5,3,5,2,2,1,4,2,Healthcare,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,0,2,NA,NA,0,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,Idk,NA,1,2,1,2,3,1,7,NA,NA,1,2,NA,NA,4,NA,NA,4,1,1,1,0.648,2.199,2.67,2,1,2,0.174,0.884,1.459,2,1,1,0.306,1.108,1.765,2,fave|socialism,FL_136,FL_124,FL_114,FL_109,FL_101,FL_91,FL_88,FL_80,FL_69,FL_61,FL_54,FL_45,mip_open|G2.Q3,m4a_soc,covid_control,gnd_control,6|5|4|3|2|1,5|4|2|1|3,2|7|5|3|10|6|1,2|1|3|4|8,1|2|3|4,4|8|2|3|6|5|7|1,7|4|9|5|6,1|2|9|8,8|7|6|5|4|3|2|1,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7,1|4|7|2|6|3|5|8,35,0,7.68,1,2,5,6,3,3,7,NA,5,1,2,0.454977443,2,1,1,1,1,2,2020,0.94,0.427678796
R_ZpBLJL4Vj2jE7GV,NA,10/25/20 7:08,10/25/20 7:13,1,5f9578ba-0fb2-6a45-49fc-f707263f37df,48,2,16,1,1,5,4,4,89139,Linda,Emma,Hannah,Benjamin,John,Michael,Husband and no children,Husband and one child,Wife and no children,Husband and one child,Wife and three children,Husband and one child,52,53,45,67,48,68,21,11,16,17,12,20,12,1,1,29,1,1972,3,NA,NA,3,3,1,2,1,8,NA,8,5,2,1,1,2,3,3,3,3,5,4,10.211,21.323,22.463,5,3,1,1,1,4,1,1,1,2,unemployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,2,0,3,1,3,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,china,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,6,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,2,19.231,19.231,20.155,1,1,1,7.546,7.546,9.594,1,1,1,4.56,4.56,5.582,1,socialism|fave,FL_137,FL_126,FL_120,FL_107,FL_99,FL_93,FL_82,FL_76,FL_67,FL_60,FL_57,FL_44,mip_open|G2.Q3,m4a_control,covid_control,gnd_labeled,6|5|4|3|2|1,5|4|2|1|3,3|1|5|6|10|7|2,2|1|3|4|8,2|1|3|4,5|7|2|1|8|3|4|6,7|4|9|5|6,2|1|8|9,8|7|6|5|4|3|2|1,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|3|2|4|5|6|7|8,48,0,4.98,1,3,5,4,3,3,8,NA,5,3,2,0.528603383,2,1,1,1,1,4,2020,0.906,0.478914665
R_3D1lM44pwVZjwg5,NA,10/25/20 7:08,10/25/20 7:14,1,5f95787a-44a1-6e0d-1219-4e3427cf3424,45,1,9,1,1,4,3,3,32347,James,Janet,Elizabeth,George,Jennifer,Mary,Wife and no children,Wife and one child,Husband and two children,Husband and no children,Husband and one child,Husband and two children,54,49,54,58,49,55,13,16,13,13,23,24,14,1,1,10,1,1975,3,NA,NA,1,3,5,3,1,1,NA,NA,12,2,1,3,3,3,2,2,3,5,4,10.167,28.965,29.852,8,3,2,4,4,1,1,4,3,2,covid,3,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,2,3,1,2,1,NA,NA,NA,1,NA,NA,4,NA,5,1,1,2,12.239,12.239,12.921,1,1,1,24.939,24.939,26.054,1,1,2,11.702,12.066,12.692,2,fave|socialism,FL_130,FL_127,FL_121,FL_108,FL_103,FL_94,FL_83,FL_77,FL_70,FL_58,FL_52,FL_46,mip_open|G2.Q2,m4a_control,covid_econ,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,3|6|7|5|10|1|2,2|1|3|4|8,1|2|3|4,1|2|3|4|5|6|7|8,6|7|9|5|4,1|2|9|8,8|7|6|5|4|3|2|1,9|8|5|1|7|4|2|6|3,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,45,0,6.23,1,3,4,3,2,2,3,NA,1,3,3,1.381308661,2,1,3,1,1,3,2020,0.912,1.259753499
R_3izlK3URKy1kDPO,NA,10/25/20 7:08,10/25/20 7:14,1,5f9578ae-acd6-3ce0-dd48-dd214b87a29e,60,2,19,1,1,5,2,1,2072,James,Matthew,Emma,William,Jennifer,James,Wife and two children,Wife and two children,Wife and three children,Wife and three children,Husband and three children,Wife and no children,61,49,58,52,64,45,22,21,23,24,25,11,11,1,1,22,1,1960,1,2,NA,NA,3,1,1,1,2,NA,NA,5,2,1,3,2,2,1,1,1,6,4,1.332,21.113,22.249,8,2,1,1,1,4,3,4,2,2,Economy,2,3,3,3,2,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,Make sure it’s reality,NA,2,1,2,2,1,1,2,NA,1,NA,1,NA,NA,3,NA,NA,5,1,1,2,3.488,12.825,13.505,10,1,1,1.779,8.731,10.53,4,1,1,0.683,6.285,7.578,6,fave|socialism,FL_130,FL_125,FL_118,FL_106,FL_103,FL_90,FL_87,FL_79,FL_73,FL_65,FL_56,FL_43,mip_open|G2.Q2,m4a_econ,covid_control,gnd_control,6|5|4|3|2|1,5|4|2|1|3,2|6|3|5|10|7|1,2|1|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,4|7|9|6|5,1|2|9|8,8|7|6|5|4|3|2|1,4|9|1|2|7|3|5|6|8,1|2|3|4|5|6|7,1|3|7|5|2|4|6|8,60,1,5.77,1,4,5,2,3,3,5,NA,5,3,1,0.614350758,3,1,3,1,1,2,2020,0.938,0.576261011
R_2zhBZvV3iWMrE2a,NA,10/25/20 7:08,10/25/20 7:14,1,5f9578d8-7695-7d92-41d5-51b9cd641b7f,57,2,9,1,1,2,10,3,23457,Michael,Hannah,Janet,George,Linda,Barbara,Husband and two children,Husband and two children,Wife and two children,Husband and no children,Husband and one child,Wife and three children,56,67,63,49,54,47,22,11,13,17,21,16,12,1,1,48,1,1963,2,NA,1,NA,5,5,2,1,2,NA,NA,2,1,1,1,3,3,4,1,1,1,4,3.673,23.74,24.493,6,6,1,1,1,5,1,1,3,2,Immigration,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,0,1,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,7,NA,2,NA,NA,NA,2,NA,1,NA,2,1,1,2,10.826,11.781,19.345,2,1,1,4.701,5.3,6.088,2,1,2,5.38,6.292,9.777,2,fave|socialism,FL_133,FL_128,FL_119,FL_108,FL_105,FL_96,FL_86,FL_78,FL_71,FL_58,FL_52,FL_49,mip_open|G2.Q3,m4a_econ,covid_soc,gnd_labeled,1|2|3|4|5|6,5|4|2|1|3,1|6|5|7|10|3|2,1|2|3|4|8,1|2|3|4,1|2|8|6|5|3|4|7,5|4|9|7|6,1|2|9|8,8|7|6|5|4|3|2|1,1|2|3|4|5|6|7|8|9,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,57,0,5.87,1,4,2,7,1,1,7,NA,5,3,2,1.051771219,2,1,1,1,1,1,2020,1,1.051771219
R_1N988jKCH6cJdxg,NA,10/25/20 7:07,10/25/20 7:14,1,5f957882-e33c-3f6d-436d-b211b864cf97,69,1,5,1,1,6,1,3,76522,Jennifer,Hannah,Emma,Matthew,Linda,Robert,Husband and two children,Husband and no children,Wife and one child,Wife and three children,Wife and two children,Wife and three children,52,57,63,60,45,65,19,20,22,23,24,10,8,1,1,45,1,1951,1,1,NA,NA,2,4,1,3,NA,1,NA,5,2,5,1,2,3,1,1,1,6,4,8.875,22.654,24.871,5,2,4,5,5,1,2,4,3,2,President Trump,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,0,2,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,2,3,1,2,1,NA,NA,NA,NA,1,NA,NA,4,4,1,1,1,20.897,20.897,24.512,1,1,2,12.968,12.968,15.276,1,1,1,8.956,8.956,10.415,1,socialism|fave,FL_135,FL_128,FL_118,FL_109,FL_105,FL_92,FL_86,FL_74,FL_69,FL_65,FL_55,FL_49,mip_open|G2.Q3,m4a_control,covid_soc,gnd_unlabeled,1|2|3|4|5|6,1|2|4|5|3,1|2|7|5|10|6|3,2|1|3|4|8,2|1|3|4,2|3|7|5|8|1|4|6,5|7|9|6|4,1|2|9|8,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7,1|7|2|3|4|5|6|8,69,0,7.28,1,5,6,1,4,4,3,NA,1,5,1,0.814392374,1,1,1,1,1,1,2020,0.992,0.807877235
R_3QcaB0rQRddJWLv,NA,10/25/20 7:08,10/25/20 7:14,1,5f95789f-657b-0b64-d931-10430410cabf,26,2,6,15,1,5,1,2,61704,Mary,Elizabeth,William,Elizabeth,Barbara,Linda,Husband and one child,Wife and three children,Wife and three children,Wife and one child,Husband and no children,Wife and no children,53,53,51,68,63,65,11,12,11,20,25,14,12,1,1,14,1,1994,1,1,NA,NA,1,5,1,3,NA,1,NA,9,2,1,1,2,3,1,1,1,6,4,1.716,12.146,13.042,10,1,4,5,4,1,1,1,3,2,Healthcare,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,Trump cannot be allowed to steal another election and further push the US into a state of disaster,1,1,1,2,2,1,2,NA,NA,1,NA,1,NA,NA,NA,5,3,1,1,2,1.704,15.604,16.294,13,1,1,1.401,7.525,8.592,5,1,1,3.067,10.143,10.782,5,socialism|fave,FL_134,FL_129,FL_114,FL_113,FL_104,FL_97,FL_84,FL_81,FL_73,FL_61,FL_50,FL_43,mip_open|G2.Q3,m4a_soc,covid_econ,gnd_unlabeled,6|5|4|3|2|1,1|2|4|5|3,2|1|5|6|10|7|3,2|1|3|4|8,1|2|3|4,8|7|5|4|6|3|1|2,6|5|9|4|7,1|2|9|8,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7,1|7|2|3|4|5|6|8,26,0,6.33,4,1,5,1,3,7,6,NA,8,2,1,0.588199821,1,1,1,1,5,1,2020,0.652,0.383506283
R_1EXVxqY8GQbHrNx,NA,10/25/20 7:08,10/25/20 7:14,1,5f9578c2-adad-e892-83cf-d9c68d12b842,73,1,16,1,1,6,3,4,59404,Robert,Janet,Matthew,Hannah,Barbara,Jennifer,Wife and one child,Husband and no children,Husband and three children,Husband and two children,Wife and two children,Husband and two children,45,61,68,52,62,62,15,23,24,10,19,18,12,1,1,27,1,1947,3,NA,NA,1,3,1,1,1,1,NA,NA,1,2,5,2,2,2,2,4,3,2,4,19.555,45.367,46.433,5,2,2,3,4,1,1,4,3,2,ECONOMY,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,2,1,NA,NA,1,NA,NA,3,NA,NA,3,1,1,2,20.449,20.449,21.451,1,1,2,12.006,12.006,13.058,1,1,2,13.978,13.978,15.646,1,socialism|fave,FL_132,FL_127,FL_117,FL_112,FL_104,FL_95,FL_85,FL_74,FL_72,FL_62,FL_55,FL_46,mip_open|G2.Q2,m4a_control,covid_control,gnd_control,1|2|3|4|5|6,5|4|2|1|3,1|6|3|5|10|2|7,2|1|3|4|8,2|1|3|4,1|2|3|4|5|6|7|8,4|5|9|6|7,1|2|9|8,8|7|6|5|4|3|2|1,4|3|8|9|1|2|6|7|5,2|1|3|4|5|6|7,1|7|2|3|4|5|6|8,73,1,6.58,1,6,6,3,4,4,4,NA,1,5,1,1.226931746,2,1,2,1,1,3,2020,0.994,1.219570155
