County,YES,NO
Beaverhead,"2,341","2,066"
Big Horn,"1,752","1,301"
Blaine,983,756
Broadwater,"2,073","1,218"
Carbon,"2,690","2,847"
Carter,531,188
Cascade,"14,434","13,666"
Chouteau,"1,208",929
Custer,"2,489","1,968"
Daniels,461,224
Dawson,"2,130","1,289"
Deer Lodge,"1,650","2,294"
Fallon,845,347
Fergus,"2,986","2,179"
Flathead,"24,761","21,641"
Gallatin,"19,704","31,992"
Garfield,448,182
Glacier,"1,372","1,448"
Golden Valley,292,126
Granite,975,743
Hill,"2,430","2,577"
Jefferson,"3,129","3,209"
Judith Basin,558,454
Lake,"6,297","6,294"
Lewis & Clark,"12,994","19,629"
Liberty,488,376
Lincoln,"5,865","3,099"
Madison,"2,590","2,269"
McCone,646,246
Meagher,475,343
Mineral,"1,288",814
Missoula,"15,724","38,915"
Musselshell,"1,469",706
Park,"3,599","5,102"
Petroleum,178,106
Phillips,"1,043",562
Pondera,"1,391",842
Powder River,514,298
Powell,"1,438","1,037"
Prairie,390,183
Ravalli,"12,974","9,977"
Richland,"2,388","1,181"
Roosevelt,"1,553",876
Rosebud,"1,504","1,075"
Sanders,"4,006","2,363"
Sheridan,894,630
Silver Bow,"4,902","9,109"
Stillwater,"2,727","1,703"
Sweet Grass,"1,022",730
Teton,"1,648","1,170"
Toole,931,637
Treasure,185,201
Valley,"1,755","1,325"
Wheatland,439,313
Wibaux,292,126
Yellowstone,"29,150","30,023"
TOTALS,"213,001","235,904"
