County,FIPS code,TESTER,BRECKENRIDGE,ROSENDALE
Beaverhead,001,"1,876",155,"2,866"
Big Horn,003,"3,027",91,"1,558"
Blaine,005,"1,961",76,982
Broadwater,007,"1,071",104,"2,086"
Carbon,009,"2,680",178,"3,209"
Carter,011,128,22,602
Cascade,013,"17,435","1,008","15,566"
Chouteau,015,"1,275",70,"1,312"
Custer,017,"1,942",179,"2,762"
Daniels,019,281,29,631
Dawson,021,"1,233",140,"2,700"
Deer Lodge,023,"2,892",136,"1,208"
Fallon,025,281,57,951
Fergus,027,"1,964",189,"3,640"
Flathead,029,"19,652","1,349","26,759"
Gallatin,031,"33,251","1,434","21,248"
Garfield,033,81,30,571
Glacier,035,"3,754",89,"1,153"
Golden Valley,037,130,21,303
Granite,039,695,52,"1,046"
Hill,041,"3,729",227,"2,434"
Jefferson,043,"2,954",226,"3,653"
Judith Basin,045,388,51,752
Lake,047,"6,916",365,"6,491"
Lewis & Clark,049,"20,506",927,"14,106"
Liberty,051,365,30,586
Lincoln,053,"2,902",298,"6,137"
Madison,057,"1,890",171,"2,898"
McCone,055,227,29,773
Meagher,059,319,28,629
Mineral,061,785,92,"1,181"
Missoula,063,"41,688","1,332","18,631"
Musselshell,065,573,116,"1,743"
Park,067,"5,114",253,"4,357"
Petroleum,069,58,6,248
Phillips,071,577,79,"1,426"
Pondera,073,"1,176",96,"1,413"
Powder River,075,203,22,748
Powell,077,"1,026",93,"1,641"
Prairie,079,177,26,450
Ravalli,081,"9,156",623,"13,622"
Richland,083,"1,136",179,"3,017"
Roosevelt,085,"2,013",88,"1,346"
Rosebud,087,"1,511",91,"1,765"
Sanders,089,"2,071",227,"3,856"
Sheridan,091,712,83,"1,017"
Silver Bow,093,"11,672",394,"4,246"
Stillwater,095,"1,501",157,"3,206"
Sweet Grass,097,652,74,"1,372"
Teton,099,"1,290",83,"1,784"
Toole,101,626,69,"1,208"
Treasure,103,129,6,279
Valley,105,"1,545",200,"2,137"
Wheatland,107,315,32,586
Wibaux,109,140,12,390
Yellowstone,111,"32,225","2,351","34,682"
TOTALS,,"253,876","14,545","235,963"
