County,turnout.2022,turnout.2018
Beaverhead,0.6434,0.7265
Big Horn,0.4633,0.5911
Blaine,0.4705,0.7257
Broadwater,0.6263,0.7523
Carbon,0.6739,0.7630
Carter,0.8081,0.7751
Cascade,0.5898,0.6919
Chouteau,0.6417,0.7587
Custer,0.6432,0.6992
Daniels,0.6610,0.7782
Dawson,0.6276,0.6940
Deer Lodge,0.7241,0.7662
Fallon,0.7261,0.7149
Fergus,0.7169,0.7428
Flathead,0.6048,0.6985
Gallatin,0.5822,0.7046
Garfield,0.7440,0.7982
Glacier,0.3813,0.6040
Golden Valley,0.7814,0.7879
Granite,0.7093,0.7759
Hill,0.5919,0.6924
Jefferson,0.6892,0.7799
Judith Basin,0.7599,0.8147
Lake,0.6211,0.7194
Lewis & Clark,0.6462,0.7539
Liberty,0.7705,0.8343
Lincoln,0.6204,0.6974
Madison,0.7150,0.7577
McCone,0.7738,0.8250
Meagher,0.6820,0.7594
Mineral,0.5882,0.6376
Missoula,0.6277,0.7186
Musselshell,0.6372,0.7498
Park,0.6444,0.7267
Petroleum,0.7690,0.7464
Phillips,0.6692,0.7652
Pondera,0.6228,0.7431
Powder River,0.7037,0.7587
Powell,0.6564,0.7647
Prairie,0.7090,0.7620
Ravalli,0.6861,0.7534
Richland,0.4993,0.6023
Roosevelt,0.4585,0.5815
Rosebud,0.5505,0.6780
Sanders,0.6676,0.7193
Sheridan,0.6657,0.7523
Silver Bow,0.6107,0.7172
Stillwater,0.6575,0.7744
Sweet Grass,0.6570,0.7745
Teton,0.7028,0.7882
Toole,0.6549,0.7349
Treasure,0.8083,0.7522
Valley,0.6646,0.7976
Wheatland,0.6727,0.6976
Wibaux,0.6419,0.7697
Yellowstone,0.5791,0.7069
