"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1101","31301","1002","98","859","11.408614668","98","100"
"1101","31301","1003","85","859","9.895227008","85","100"
"1101","31301","1004","87","859","10.128055878","87","100"
"1101","31301","1005","94","859","10.942956926","94","100"
"1101","31301","1006","43","859","5.005820721","43","100"
"1101","31301","2003","100","859","11.641443538","100","100"
"1101","31301","2004","84","859","9.778812572","84","100"
"1101","31301","2005","80","859","9.313154831","80","100"
"1101","31301","2006","49","859","5.704307334","49","100"
"1101","31301","2007","1","859","0.116414435","1","100"
"1101","31301","2008","74","859","8.614668218","74","100"
"1101","31301","2009","64","859","7.450523864","64","100"
"1102","31301","2010","113","882","12.811791383","113","100"
"1102","31301","2011","107","882","12.131519274","107","100"
"1102","31302","2002","118","882","13.378684807","118","100"
"1102","31302","2003","109","882","12.358276643","109","100"
"1102","31302","2004","43","882","4.875283446","43","100"
"1102","31302","2006","93","882","10.544217687","93","100"
"1102","31302","2008","219","882","24.829931972","219","100"
"1102","31302","2009","80","882","9.070294784","80","100"
"1103","31301","1000","99","99","100","99","100"
"1104","31301","1001","92","1150","8","92","100"
"1104","31301","2000","78","1150","6.782608695","78","100"
"1104","31301","2001","85","1150","7.391304347","85","100"
"1104","31301","2002","103","1150","8.956521739","103","100"
"1104","31301","3001","75","1150","6.52173913","75","100"
"1104","31301","3002","91","1150","7.913043478","91","100"
"1104","31301","3003","85","1150","7.391304347","85","100"
"1104","31301","3004","130","1150","11.304347826","130","100"
"1104","31301","3005","88","1150","7.652173913","88","100"
"1104","31301","3006","126","1150","10.956521739","126","100"
"1104","31301","3007","108","1150","9.391304347","108","100"
"1104","31301","3008","89","1150","7.739130434","89","100"
"1105","31302","1000","109","1035","10.531400966","109","100"
"1105","31302","1001","102","1035","9.855072463","102","100"
"1105","31302","1002","96","1035","9.275362318","96","100"
"1105","31302","1003","132","1035","12.753623188","132","100"
"1105","31302","1004","79","1035","7.632850241","79","100"
"1105","31302","1005","107","1035","10.338164251","107","100"
"1105","31302","1006","108","1035","10.434782608","108","100"
"1105","31302","1007","97","1035","9.371980676","97","100"
"1105","31302","2000","98","1035","9.468599033","98","100"
"1105","31302","2001","107","1035","10.338164251","107","100"
"1106","31302","3000","108","963","11.214953271","108","100"
"1106","31302","3001","229","963","23.77985462","229","100"
"1106","31302","3002","165","963","17.133956386","165","100"
"1106","31401","1006","140","963","14.537902388","140","100"
"1106","31401","1007","172","963","17.860851505","172","100"
"1106","31401","2001","149","963","15.472481827","149","100"
"1107","26201","2002","49","1024","4.78515625","49","100"
"1107","26201","2003","101","1024","9.86328125","101","100"
"1107","26201","2004","31","1024","3.02734375","31","100"
"1107","26201","3000","118","1024","11.5234375","118","100"
"1107","26201","3001","115","1024","11.23046875","115","100"
"1107","26201","3002","11","1024","1.07421875","11","100"
"1107","26201","3003","59","1024","5.76171875","59","100"
"1107","26201","3004","64","1024","6.25","64","100"
"1107","26201","3005","71","1024","6.93359375","71","100"
"1107","26201","3006","74","1024","7.2265625","74","100"
"1107","26201","3007","87","1024","8.49609375","87","100"
"1107","26201","3008","55","1024","5.37109375","55","100"
"1107","26201","3009","13","1024","1.26953125","13","100"
"1107","31401","2002","176","1024","17.1875","176","100"
"1108","31201","2000","93","1244","7.475884244","93","100"
"1108","31201","2001","126","1244","10.128617363","126","100"
"1108","31201","2002","124","1244","9.967845659","124","100"
"1108","31201","2003","115","1244","9.24437299","115","100"
"1108","31201","2004","160","1244","12.861736334","160","100"
"1108","31201","2005","48","1244","3.8585209","48","100"
"1108","31201","2006","128","1244","10.289389067","128","100"
"1108","31201","3000","40","1244","3.215434083","40","100"
"1108","31201","3001","65","1244","5.225080385","65","100"
"1108","31201","3002","61","1244","4.903536977","61","100"
"1108","31201","3003","66","1244","5.305466237","66","100"
"1108","31201","3004","115","1244","9.24437299","115","100"
"1108","31201","3005","103","1244","8.279742765","103","100"
"1109","31201","1008","115","958","12.004175365","115","100"
"1109","31201","4000","141","958","14.718162839","141","100"
"1109","31201","4001","129","958","13.465553235","129","100"
"1109","31201","4002","91","958","9.498956158","91","100"
"1109","31201","4003","101","958","10.542797494","101","100"
"1109","31201","4004","130","958","13.569937369","130","100"
"1109","31201","4005","113","958","11.795407098","113","100"
"1109","31202","1005","93","958","9.707724425","93","100"
"1109","31301","3000","19","958","1.983298538","19","100"
"1109","31301","3009","26","958","2.713987473","26","100"
"1111","31402","2001","164","783","20.945083014","164","100"
"1111","31402","2002","186","783","23.754789272","186","100"
"1111","31402","2003","104","783","13.282247765","104","100"
"1111","31402","3001","150","783","19.157088122","150","100"
"1111","31402","3003","61","783","7.790549169","61","100"
"1111","31402","3004","118","783","15.070242656","118","100"
"1112","31201","1003","108","945","11.428571428","108","100"
"1112","31201","1004","131","945","13.862433862","131","100"
"1112","31201","1005","116","945","12.275132275","116","100"
"1112","31201","1006","133","945","14.074074074","133","100"
"1112","31201","1007","124","945","13.121693121","124","100"
"1112","31202","1000","201","945","21.269841269","201","100"
"1112","31202","1001","132","945","13.968253968","132","100"
"1113","31202","1002","142","1053","13.485280151","142","100"
"1113","31202","1003","112","1053","10.636277302","112","100"
"1113","31202","1004","122","1053","11.585944919","122","100"
"1113","31402","1000","56","1053","5.318138651","56","100"
"1113","31402","1001","116","1053","11.016144349","116","100"
"1113","31402","1002","26","1053","2.469135802","26","100"
"1113","31402","1003","68","1053","6.457739791","68","100"
"1113","31402","1006","129","1053","12.25071225","129","100"
"1113","31402","3000","119","1053","11.301044634","119","100"
"1113","31402","3002","163","1053","15.479582146","163","100"
"1114","31401","1002","14","818","1.711491442","14","100"
"1114","31401","1003","92","818","11.246943765","92","100"
"1114","31401","1004","109","818","13.325183374","109","100"
"1114","31401","1005","126","818","15.403422982","126","100"
"1114","31401","1008","158","818","19.315403422","158","100"
"1114","31401","2000","152","818","18.58190709","152","100"
"1114","31402","2004","167","818","20.415647921","167","100"
"1115","26201","1001","27","950","2.842105263","27","100"
"1115","26201","1002","110","950","11.578947368","110","100"
"1115","26201","1007","131","950","13.789473684","131","100"
"1115","26201","1008","84","950","8.842105263","84","100"
"1115","26201","2005","95","950","10","95","100"
"1115","26201","2006","367","950","38.631578947","367","100"
"1115","26201","2007","82","950","8.631578947","82","100"
"1115","26201","2008","53","950","5.578947368","53","100"
"1115","26201","2009","1","950","0.105263157","1","100"
"1116","31201","1000","57","57","100","57","100"
"1117","31201","1001","223","964","23.132780082","223","100"
"1117","31201","1002","134","964","13.900414937","134","100"
"1117","31201","1009","68","964","7.053941908","68","100"
"1117","31202","2000","106","964","10.995850622","106","100"
"1117","31202","2001","76","964","7.883817427","76","100"
"1117","31202","2002","61","964","6.327800829","61","100"
"1117","31202","2003","63","964","6.535269709","63","100"
"1117","31202","2004","73","964","7.572614107","73","100"
"1117","31202","2005","12","964","1.244813278","12","100"
"1117","31202","2006","28","964","2.904564315","28","100"
"1117","31202","2007","36","964","3.734439834","36","100"
"1117","31202","2008","42","964","4.356846473","42","100"
"1117","31202","2009","42","964","4.356846473","42","100"
"1118","31202","2010","66","1118","5.903398926","66","100"
"1118","31202","2011","97","1118","8.676207513","97","100"
"1118","31202","2012","122","1118","10.91234347","122","100"
"1118","31202","2013","123","1118","11.001788908","123","100"
"1118","31401","1000","74","1118","6.618962432","74","100"
"1118","31402","1004","78","1118","6.976744186","78","100"
"1118","31402","1005","249","1118","22.271914132","249","100"
"1118","31402","1007","309","1118","27.638640429","309","100"
"1119","26100","2006","226","869","26.006904487","226","100"
"1119","26100","2007","66","869","7.594936708","66","100"
"1119","26100","3003","8","869","0.920598388","8","100"
"1119","26100","3005","40","869","4.602991944","40","100"
"1119","26100","3007","36","869","4.14269275","36","100"
"1119","26100","3013","75","869","8.630609896","75","100"
"1119","26100","3014","24","869","2.761795166","24","100"
"1119","26202","1000","170","869","19.562715765","170","100"
"1119","26202","1001","100","869","11.507479861","100","100"
"1119","26202","1002","78","869","8.975834292","78","100"
"1119","26202","1003","46","869","5.293440736","46","100"
"1121","26201","1003","78","1057","7.379375591","78","100"
"1121","26201","1004","73","1057","6.906338694","73","100"
"1121","26201","1005","103","1057","9.744560075","103","100"
"1121","26201","1006","58","1057","5.487228003","58","100"
"1121","26202","2001","131","1057","12.393566698","131","100"
"1121","26202","2002","43","1057","4.068117313","43","100"
"1121","26202","2003","48","1057","4.54115421","48","100"
"1121","26202","2004","86","1057","8.136234626","86","100"
"1121","26202","2005","86","1057","8.136234626","86","100"
"1121","26202","2006","88","1057","8.325449385","88","100"
"1121","26202","2007","64","1057","6.05487228","64","100"
"1121","26202","2008","28","1057","2.649006622","28","100"
"1121","26202","2009","105","1057","9.933774834","105","100"
"1121","26202","2010","66","1057","6.244087038","66","100"
"1122","26100","2008","79","805","9.813664596","79","100"
"1122","26100","2010","81","805","10.062111801","81","100"
"1122","26100","2011","82","805","10.186335403","82","100"
"1122","26202","1004","11","805","1.366459627","11","100"
"1122","26202","1005","87","805","10.807453416","87","100"
"1122","26202","1006","38","805","4.720496894","38","100"
"1122","26202","1007","98","805","12.173913043","98","100"
"1122","26202","1008","146","805","18.136645962","146","100"
"1122","26202","1009","94","805","11.677018633","94","100"
"1122","26202","1010","89","805","11.055900621","89","100"
