ResponseId,sex,region,age5,educ4,race5,hispanic,weduc,pres,inputregstate,ideo5,religpew,newsint,urbancity
nonfatal_cony,2,2,1,1,1,2,1,1,Illinois,Very liberal,Agnostic,Most of the time,Suburban
mesodermic_bronco,1,3,1,1,1,2,1,4,Texas,Very conservative,Roman Catholic,Most of the time,Rural area
titaniferous_terrier,2,3,2,3,5,2,7,1,Oklahoma,Very liberal,Protestant,Some of the time,Suburban
careworn_prawn,2,3,4,3,1,2,3,2,Florida,Conservative,Roman Catholic,Most of the time,Suburban
mythological_freshwatereel,2,2,3,1,1,2,1,1,Illinois,Very liberal,Roman Catholic,Some of the time,Urban
petrophilic_quagga,2,3,2,1,5,2,5,4,Kentucky,Liberal,Eastern or Greek Orthodox,Some of the time,Rural area
unallergic_armadillo,2,3,3,3,1,2,3,1,Maryland,Moderate,Agnostic,Some of the time,Urban
wellborn_shrike,1,3,2,3,2,2,7,2,Virginia,Very conservative,Agnostic,Most of the time,Suburban
blithesome_bluewhale,2,3,1,3,3,1,7,4,Alabama,Moderate,Protestant,Most of the time,Urban
scheelite_leopardseal,2,3,2,1,1,2,1,4,,Moderate,Other,Some of the time,Suburban
cruelhearted_zebra,2,4,1,2,1,2,2,2,California,Very conservative,Protestant,Some of the time,Suburban
whitish_molly,2,1,1,3,1,2,3,4,,Very liberal,Eastern or Greek Orthodox,Some of the time,Suburban
filterable_brant,2,3,1,1,2,2,5,1,Alabama,Moderate,Nothing in particular,Some of the time,Rural area
deformational_heron,2,4,1,1,2,2,5,1,California,Very liberal,Nothing in particular,Most of the time,Suburban
nickel_viperfish,2,1,4,4,1,2,4,4,New Jersey,Conservative,Muslim,Some of the time,Suburban
smashable_azurevasesponge,1,3,1,3,2,2,7,1,North Carolina,Moderate,Roman Catholic,Some of the time,Suburban
delicious_steed,1,4,1,3,3,1,7,4,California,Liberal,Jewish,Some of the time,Urban
disreputable_dorado,2,1,5,2,1,2,2,1,New York,Liberal,Jewish,Most of the time,Suburban
upset_eeve,2,3,5,3,1,2,3,2,Florida,Conservative,Protestant,Most of the time,Urban
unidentified_civet,2,3,3,1,1,2,1,2,South Carolina,Moderate,Protestant,Most of the time,Rural area
iambic_jaeger,2,1,2,3,1,2,3,2,Pennsylvania,Moderate,Protestant,Only now and then,Rural area
entertaining_hamster,1,3,1,1,3,1,5,1,Texas,Very liberal,Roman Catholic,Most of the time,Urban
dimwitted_crayfish,2,1,1,1,1,2,1,4,,Not sure,Nothing in particular,Hardly at all,Suburban
taxidermic_queenant,2,3,1,3,1,2,3,4,,Not sure,Nothing in particular,Hardly at all,Suburban
vitriolic_firefly,1,3,2,4,3,1,8,4,Texas,Moderate,Mormon,Most of the time,Urban
wellmannered_dipper,1,1,2,3,3,1,7,1,New York,Very liberal,Protestant,Most of the time,Urban
balanced_schnauzer,2,4,2,1,1,2,1,4,,Moderate,Nothing in particular,Some of the time,Rural area
ungeometrical_irishwolfhound,1,2,2,3,1,2,3,2,Iowa,Moderate,Other,Only now and then,Urban
noncorporate_rockrat,1,2,2,4,1,2,4,4,Michigan,Very liberal,Protestant,Most of the time,Urban
agronomical_piglet,2,3,3,2,1,2,2,2,Virginia,Conservative,Nothing in particular,Some of the time,Urban
doused_sanddollar,1,2,1,4,1,2,4,4,Iowa,Liberal,Muslim,Some of the time,Urban
gratuitous_cuckoo,1,3,2,4,1,2,4,2,,Very liberal,Protestant,Most of the time,Urban
